area,gisjoin1910,gisjoin2010
.0098355897,G3600610B0002,G3600050003900
.123849,G3600610B0002,G3600050002500
.102366,G3600610B0002,G3600050002300
.144085,G3600610B0002,G3600050001900
.00257714,G3600610B0002,G3600050005100
.000076631601,G3600610B0001,G3600050003300
.0011625401,G3600610B0001,G3600050002500
.00614285,G3600610B0001,G3600050002702
.00075212098,G3600610B0001,G3600050002701
1.13086,G3600610B0001,G3600050001900
.00377155,G3900350R0006,G3900350154100
.0076029398,G3900350R0006,G3900350154200
.00108888,G3900350R0006,G3900350154300
.0010638,G3900350R0006,G3900350154400
.00859995,G3900350R0006,G3900350115800
1.25708,G3900350R0006,G3900350115900
.027434099,G3900350R0006,G3900350121300
.0038882301,G3900350H0001,G3900350103100
.069011599,G3900350H0001,G3900350103300
.000844325,G3900350H0001,G3900350103500
.00152252,G3900350H0001,G3900350107101
1.2584701,G3900350H0001,G3900350103602
.33799201,G3900350J0001,G3900350107802
.450708,G3900350J0001,G3900350107101
.00157175,G3900350J0001,G3900350107701
.47058901,G3900350K0003,G3900350108201
.97961497,G3900350K0003,G3900350107101
1.21814,G3900350W0002,G3900350111202
.0031810999,G3900350W0002,G3900350108201
.0091520296,G3900350K0001,G3900350108201
.00138431,G3900350K0001,G3900350107802
1.18739,G3900350K0001,G3900350107101
.30535299,G3900350A0001,G3900350101101
1.32058,G3900350A0001,G3900350101102
1.24102,G3900350A0001,G3900350101200
.0111983,G3900350A0001,G3900350101300
.0132783,G3900350A0001,G3900350101700
.0033115,G3900350A0001,G3900350101800
.0068105198,G3900350A0001,G3900350160601
.00151672,G3900350A0001,G3900350160602
.00245218,G3900350A0001,G3900350101501
.0000305715,G3900350A0001,G3900350103602
.0040014498,G3900350A0001,G3900350101901
.00364416,G3900350I0001,G3900350103300
.086083002,G3900350I0001,G3900350107802
1.4051501,G3900350I0001,G3900350107101
.020917401,G3900350I0001,G3900350107701
.0000144723,G3900350I0001,G3900350103602
.174594,G3900350W0001,G3900350111202
.77321601,G3900350W0001,G3900350108201
.00132804,G3900350W0001,G3900350107101
.61429602,G3900350X0001,G3900350111401
.00092702103,G3900350X0001,G3900350111700
.000143831,G3900350X0001,G3900350111902
.021592099,G3900350X0001,G3900350116100
.001587,G3900350X0001,G3900350116400
1.30279,G3900350X0001,G3900350111202
.00060110103,G3900350X0001,G3900350192800
.1366,G36004700058,G3600470014300
.0031528701,G36004700058,G3600470014500
.0111009,G36004700058,G3600470014700
.0025128401,G36004700058,G3600470014900
.045955401,G36004700059,G3600470150200
.088171802,G36004700059,G3600470014700
.055655502,G36004700059,G3600470014900
.0072436701,G36004700059,G3600470016900
.0123398,G36004700059,G3600470017500
.0029879401,G36004700062,G3600470010100
8.8381000e-07,G36004700062,G3600470014300
.137817,G36004700062,G3600470014500
.0088116899,G36004700062,G3600470014700
.0058616698,G36004700062,G3600470017500
.19480801,G36004700042,G3600470011900
.0089381896,G36004700042,G3600470013100
.0119091,G36004700042,G3600470013300
.000018389401,G36004700042,G3600470013500
.161787,G36004700030,G3600470006900
.0121278,G36004700030,G3600470007100
.0044888398,G36004700030,G3600470007500
.000389383,G36004700031,G3600470011900
.147634,G36004700031,G3600470007100
.00320882,G36004700031,G3600470007500
.0127366,G36004700031,G3600470012700
.048895501,G36004700032,G3600470011900
.0074297702,G36004700032,G3600470007100
.26139,G36004700032,G3600470007500
.00894506,G36004700032,G3600470007700
.032836799,G36004700033,G3600470011900
.0010908199,G36004700033,G3600470007500
.21844199,G36004700033,G3600470007700
.0384917,G36004700034,G3600470011900
.00130875,G36004700034,G3600470005300
.12919401,G36004700034,G3600470007700
.00262626,G36004700026,G3600470006500
.137899,G36004700026,G3600470006700
.0032907301,G36004700026,G3600470006900
.0105149,G36004700026,G3600470007500
.143814,G36004700027,G3600470006500
.00208831,G36004700027,G3600470007500
.0127312,G36004700027,G3600470007700
.068690598,G36004700035,G3600470005100
.0151272,G36004700035,G3600470005900
.052601699,G36004700035,G3600470006300
.0131314,G36004700035,G3600470006500
.0169698,G36004700279,G3600470093800
.055167601,G36004700279,G3600470094401
.263363,G36004700279,G3600470093200
.026112599,G36004700279,G3600470094600
.0054141101,G36004700279,G3600470083000
.014396,G36004700279,G3600470083200
.0110246,G36004700279,G3600470083400
.010119,G36004700279,G3600470083600
.14713299,G36004700279,G3600470083800
.170057,G36004700279,G3600470084000
.166529,G36004700279,G3600470084600
.137502,G36004700279,G3600470084800
.144612,G36004700279,G3600470085000
.40200701,G36004700279,G3600470085200
.120911,G36004700279,G3600470085400
.124446,G36004700279,G3600470085600
.114007,G36004700279,G3600470085800
.15620001,G36004700279,G3600470086000
.125948,G36004700279,G3600470086200
.0024957999,G36004700279,G3600470072600
.0218371,G36004700279,G3600470072400
.00128339,G4200030G0003,G4200030070900
5.2707701e-06,G4200030G0003,G4200030070500
.17633399,G4200030G0003,G4200030070300
.145007,G4200030G0006,G4200030070500
.00137057,G4200030G0006,G4200030070300
.049602699,G4200030G0005,G4200030111500
