area,gisjoin1950,gisjoin2010
1.0214601,G40010900066,G4001090106610
.967206,G40010900066,G4001090106609
2.6981499,G40010900066,G4001090106608
1.54249,G40010900066,G4001090106607
1.19924,G40010900066,G4001090106606
1.38886,G40010900066,G4001090106604
1.9134901,G40010900066,G4001090106601
.00184591,G40010900066,G4001090105903
1.96356,G40010900066,G4001090106602
.00626068,G40010900056,G4001090107002
.00195199,G40010900056,G4001090107001
3.3526199,G40010900056,G4001090105600
.0052630398,G40010900056,G4001090104200
.0121303,G40010900070,G4001090108602
.02682,G40010900070,G4001090108601
.000047960701,G40010900070,G4001090102200
7.6161300e-06,G40010900070,G4001090107215
.0033712899,G40010900070,G4001090107104
.00169841,G40010900070,G4001090107103
.207828,G40010900070,G4001090107101
10.924,G40010900070,G4001090107002
4.3159399,G40010900070,G4001090107001
.0140337,G40010900070,G4001090106913
.0016259101,G40010900070,G4001090105500
.00039987799,G40010900070,G4001090105907
.073341303,G40010900070,G4001090105600
.0067884801,G40010900070,G4001090104200
.0056209201,G40010900059,G4001090102200
.0088382103,G40010900059,G4001090102100
.0136426,G40010900059,G4001090100900
.049009498,G40010900059,G4001090107002
.0122393,G40010900059,G4001090106915
.00849781,G40010900059,G4001090106913
.0072926702,G40010900059,G4001090106906
.00188209,G40010900059,G4001090106804
.026852099,G40010900059,G4001090106601
1.30036,G40010900059,G4001090105906
2.43858,G40010900059,G4001090105907
2.72066,G40010900059,G4001090105904
1.283,G40010900059,G4001090105905
1.91839,G40010900059,G4001090105903
.0104284,G40010900059,G4001090106602
.00046534801,G40010900068,G4001090106907
.00086578098,G40010900068,G4001090106906
2.5932,G40010900068,G4001090106804
.33917901,G40010900068,G4001090106706
.0000206532,G40010900068,G4001090106607
.000117743,G40010900068,G4001090105903
.0063262102,G40010900068,G4001090106602
.0056190402,G40010900068,G4001090106902
1.95412,G40010900068,G4001090106803
1.08715,G40010900068,G4001090106802
.79965502,G40010900068,G4001090106801
.31294399,G40010900068,G4001090106702
.0047148899,G40010900071,G4001090107215
1.26754,G40010900071,G4001090107213
1.54636,G40010900071,G4001090107212
1.3342299,G40010900071,G4001090107104
.66397601,G40010900071,G4001090107103
10.5847,G40010900071,G4001090107101
.21988,G40010900071,G4001090107001
1.0030700e-06,G40010900071,G4000270201700
.00029604099,G40010900071,G4000270201903
.0027923801,G40010900067,G4001090108521
.00318322,G40010900067,G4001090108514
.73120099,G40010900067,G4001090108508
.00104095,G40010900067,G4001090106804
2.26057,G40010900067,G4001090106706
1.5599,G40010900067,G4001090106705
.0000247433,G40010900067,G4001090106608
.0132387,G40010900067,G4001090106607
.0120112,G40010900067,G4001090106903
.0055789002,G40010900067,G4001090106803
.0014840401,G40010900067,G4001090106802
2.54193,G40010900067,G4001090106707
.017534001,G40010900067,G4001090106801
5.7483702,G40010900067,G4001090106704
2.2815101,G40010900067,G4001090106702
.0085014198,G40010900067,G4001090108525
9.2987604,G40010900067,G4001090106708
3.1735999e-07,G40010900067,G4000170300904
.000039418399,G40010900067,G4000170300801
2.59956,G40010900069,G4001090106915
5.7227302,G40010900069,G4001090106913
4.47263,G40010900069,G4001090106912
2.4668,G40010900069,G4001090106911
1.2837501,G40010900069,G4001090106909
1.30655,G40010900069,G4001090106907
1.28469,G40010900069,G4001090106906
.0024870599,G40010900069,G4001090106804
.000040266801,G40010900069,G4001090105906
2.5774801,G40010900069,G4001090106914
1.29761,G40010900069,G4001090106910
.00040780101,G40010900069,G4001090105903
5.0495501,G40010900069,G4001090106903
1.28194,G40010900069,G4001090106902
.0071709398,G40010900069,G4001090106803
1.1421100e-06,G40010900069,G4001090106704
5.6094000e-06,G40010900069,G4000170301001
.82457602,G06003700221,G0600370224020
.026747501,G06003700221,G0600370224420
.000122463,G06003700221,G0600370224600
.00209449,G06003700221,G0600370226410
.00100073,G06003700221,G0600370226001
.0040472201,G06003700222,G0600370224020
.00103932,G06003700222,G0600370224420
.71460903,G06003700222,G0600370224600
.143116,G06003700222,G0600370224700
.0000734313,G06003700222,G0600370226410
.00079364399,G06003700222,G0600370226700
.00012465,G06003700222,G0600370231100
.000233746,G06003700223,G0600370224010
.0000917773,G06003700223,G0600370224020
.000044494001,G06003700223,G0600370226410
.0000385241,G06003700223,G0600370226420
.000170817,G06003700223,G0600370227010
.52042598,G06003700223,G0600370226002
.51049399,G06003700223,G0600370226001
.0000107589,G06003700223,G0600370207900
.000190923,G06003700225,G0600370224020
.000197178,G06003700225,G0600370224600
.27910599,G06003700225,G0600370226410
.42690101,G06003700225,G0600370226420
.0060196901,G06003700225,G0600370226700
.00279893,G06003700225,G0600370227010
.00189133,G06003700225,G0600370227020
.0041835802,G06003700225,G0600370226001
.00012766301,G06003700226,G0600370206031
.57415402,G06003700226,G0600370227010
.43397,G06003700226,G0600370227020
.0045987102,G06003700226,G0600370228210
.0043318002,G06003700226,G0600370228100
.0047664801,G06003700226,G0600370226001
.149716,G06003700243,G0600370222700
.00148078,G06003700243,G0600370224600
.00089093298,G06003700243,G0600370224700
.0066683101,G06003700243,G0600370231800
.70238203,G06003700243,G0600370231100
.00109015,G06003700243,G0600370231720
.000117923,G06003700243,G0600370228420
.00278125,G06003700243,G0600370231220
.0019630201,G06003700247,G0600370224600
.00096640101,G06003700247,G0600370226700
.000194166,G06003700247,G0600370231800
.191457,G06003700247,G0600370231100
.0017497001,G06003700247,G0600370228310
.27459499,G06003700247,G0600370228420
.00174039,G06003700247,G0600370228320
.27646199,G06003700247,G0600370228410
.0031916599,G06003700247,G0600370228500
.51246399,G06003700244,G0600370231800
.000191304,G06003700244,G0600370231900
.131651,G06003700244,G0600370231720
.0025727199,G06003700244,G0600370228420
.0000109069,G06003700244,G0600370228500
.00090659701,G06003700244,G0600370232120
.00013154899,G06003700248,G0600370226700
.000038072601,G06003700248,G0600370228220
.54168802,G06003700248,G0600370228310
.0056661,G06003700248,G0600370228210
.000106437,G06003700248,G0600370228420
.33519,G06003700248,G0600370228320
.000487201,G06003700248,G0600370228410
.0020176901,G06003700248,G0600370228500
.00176,G06003700248,G0600370228600
.0019970399,G06003700252,G0600370228710
.000201855,G06003700252,G0600370227020
.36220199,G06003700252,G0600370228220
.40033501,G06003700252,G0600370228210
.0015701799,G06003700252,G0600370228100
.000045346002,G06003700252,G0600370228600
8.0800801e-06,G06003700253,G0600370206031
.00144477,G06003700253,G0600370227010
.000039953899,G06003700253,G0600370532400
.00011834,G06003700253,G0600370227020
.00108115,G06003700253,G0600370228220
.97887701,G06003700253,G0600370228100
.00023413,G06003700253,G0600370228800
.00181356,G06003700171,G0600370221220
.23423,G06003700171,G0600370221110
.31073201,G06003700171,G0600370221120
.00659067,G06003700171,G0600370224310
.0000276886,G06003700171,G0600370209810
.010669,G06003700171,G0600370213402
.0000167159,G06003700171,G0600370213320
.64994502,G06003700169,G0600370221220
.00120321,G06003700169,G0600370221302
.35442001,G06003700169,G0600370221210
.0105747,G06003700169,G0600370213202
.0094271004,G06003700169,G0600370213310
.0092099104,G06003700169,G0600370213320
.00074082799,G06003700169,G0600370221303
.45136601,G06003700168,G0600370221302
